Registration_number,Flag,Latitude,Longitude,Altitude,Direction,Speed,Flight_number,Flight_icao,Flight_iata,Departure_icao,Departure_iata,Arrival_icao,Arrival_iata,Airline_icao,Airline_iata,Aircraft_icao,Updated,Status
9H-VUG,IE,44.221619,7.829459,11582,23,866,5NM,RYR5NM,FR8665,LEPA,PMI,EDDK,CGN,RYR,FR,B38M,1688586761,en-route
9H-VUH,IE,45.496307,9.664176,2628,154,529,3DT,RYR3DT,FR7324,LIME,BGY,LMML,MLA,RYR,FR,B38M,1688586760,en-route
9H-VUI,IE,42.73114,15.011756,10363,241,751,3959,RYR3959,FR3959,LROP,OTP,LIRA,CIA,RYR,FR,B38M,1688586759,en-route
9H-VUK,IE,50.686867,1.391296,8404,319,827,73SB,RYR73SB,FR3725,LFOB,BVA,EGCC,MAN,RYR,FR,B38M,1688586761,en-route
9H-VUN,IE,53.362144,-2.262133,0,33,9,29ZE,RYR29ZE,FR3216,EGCC,MAN,LIME,BGY,RYR,FR,B38M,1688586758,en-route
9H-VUP,IE,52.719666,6.828631,11582,223,796,93ZK,RYR93ZK,FR4413,EFHK,HEL,LFOB,BVA,RYR,FR,B38M,1688586760,en-route
9H-AMU,DE,52.968952,1.520665,10058,104,868,5BG,EWG5BG,EW9345,EGCC,MAN,EDDL,DUS,EWG,EW,A320,1688586760,en-route
9H-VUU,IE,49.525223,4.45127,6423,278,525,8HE,RYR8HE,FR3978,LIBD,BRI,LFOB,BVA,RYR,FR,B38M,1688586759,en-route
9H-VUV,IE,39.583466,12.242292,8595,167,894,8FQ,RYR8FQ,FR1150,LIMC,MXP,LICJ,PMO,RYR,FR,B38M,1688586760,en-route
9H-AMV,DE,47.579361,17.08889,9761,281,798,1Y,EWG1Y,EW2785,LHBP,BUD,EDDS,STR,EWG,EW,A320,1688586760,en-route
9H-SMH,SA,1.390283,100.475983,10363,303,937,4544,SVA4544,SV4544,WIII,CGK,,,SVA,SV,A333,1688586761,en-route
9H-CFS,MT,35.299305,19.683001,11887,102,951,713,TAR713,TU713,DTTA,TUN,OEJN,JED,MLT,TU,A332,1688586760,en-route
9H-VVC,IE,42.634048,7.776822,10668,224,733,2LX,RYR2LX,FR3811,LIPE,BLQ,LEIB,IBZ,RYR,FR,B38M,1688586759,en-route
9H-VUW,IE,39.42495,2.740234,8420,226,624,411X,RYR411X,FR8800,LIME,BGY,LEIB,IBZ,RYR,FR,B38M,1688586758,en-route
9H-VUX,IE,45.272598,10.052621,3131,345,520,3HG,RYR3HG,FR3666,LIRN,NAP,LIME,BGY,RYR,FR,B38M,1688586760,en-route
9H-VUY,IE,53.119171,13.945574,11399,185,770,1BZ,RYR1BZ,FR8922,ESSA,ARN,LMML,MLA,RYR,FR,B38M,1688586762,en-route
9H-FHY,TR,51.435333,12.304306,266,266,235,1072,FHM1072,MI1072,LGIR,HER,EDDP,LEJ,FHY,MI,A320,1688586760,en-route
9H-CXE,TR,39.864258,30.33182,11582,340,922,26GE,CAI26GE,XC2048,LTAI,AYT,EDDV,HAJ,CAI,XC,B738,1688586759,en-route
9H-CXF,TR,48.919559,13.273508,11277,118,890,3QC,CAI3QC,XC4037,EDDL,DUS,LTCG,TZX,CAI,XC,B738,1688586760,en-route
9H-MLQ,DE,45.940613,1.375904,10058,170,813,5372,TOM5372,BY5372,EGKK,LGW,LEPA,PMI,TUI,BY,A320,1688586761,en-route
9H-MLS,DE,51.35154,6.891403,586,233,246,1JB,EWG1JB,EW9911,LBBG,BOJ,EDDL,DUS,EWG,EW,A320,1688586761,en-route
9H-MLE,DE,48.99852,9.457116,11582,9,855,4TA,EWG4TA,EW7827,LIMC,MXP,EDDH,HAM,EWG,EW,A320,1688586761,en-route
9H-MMO,MT,39.815781,0.222234,11277,217,722,482G,MAC482G,3O482,LIMZ,CUF,GMMN,CMN,MMO,3O,A320,1688586758,en-route
9H-PARTS,MT,50.209579,1.329418,6697,303,477,678,VJT678,,LFPB,LBG,EGLF,FAB,VJT,,BE20,1688586762,en-route
9H-CGC,UK,48.233856,14.206569,0,247,11,4127,BCS4127,QY4127,LOWL,LNZ,EDDP,LEJ,DHK,QY,A321,1688586759,en-route
9H-CGD,UK,45.023209,16.929474,10355,342,788,7837,BCS7837,QY7837,LGAV,ATH,EDDP,LEJ,DHK,QY,A321,1688586758,en-route
9H-AZC,SA,9.068376,74.661194,11582,292,913,4100,SVA4100,SV4100,WARR,SUB,,,SVA,SV,B744,1688586760,en-route
9H-GEF,ZA,38.760975,12.665283,4091,166,757,2902,AEZ2902,XZ2902,LIRF,FCO,LICJ,PMO,AEZ,XZ,B738,1688586761,en-route
9H-VVD,IE,42.310257,3.802803,11277,233,692,23WW,RYR23WW,FR4631,LIME,BGY,LEVC,VLC,RYR,FR,B38M,1688586759,en-route
9H-QEQ,IE,41.363434,7.797796,10408,150,892,9JY,RYR9JY,FR4832,LFOB,BVA,LIEE,CAG,RYR,FR,B738,1688586761,en-route
9H-QER,IE,43.254593,-1.167233,11277,239,679,51VV,RYR51VV,FR4018,LIMC,MXP,LPPR,OPO,RYR,FR,B738,1688586761,en-route
9H-QES,IE,45.054234,9.079731,5494,81,657,5EG,RYR5EG,FR2086,LPPT,LIS,LIME,BGY,RYR,FR,B738,1688586758,en-route
9H-QET,IE,43.074272,11.660352,10363,359,829,1LZ,RYR1LZ,FR886,LICT,TPS,LIPH,TSF,RYR,FR,B738,1688586761,en-route
9H-QEU,IE,45.198647,7.646828,0,182,50,5CU,RYR5CU,FR1020,LICC,CTA,LIMF,TRN,RYR,FR,B738,1688586755,en-route
9H-WAA,HU,38.293034,-0.498266,10363,67,937,86YD,WMT86YD,W43022,GCTS,TFS,LROP,OTP,WZZ,W4,A21N,1688586759,en-route
9H-WAB,HU,43.276474,6.816697,10972,51,953,9416,WZZ9416,W62380,LECN,CDT,LHBP,BUD,WZZ,W6,A21N,1688586759,en-route
9H-EUL,DE,39.673462,3.400567,2827,233,459,4JE,EWG4JE,EW6803,EDDC,DRS,LEPA,PMI,EWG,EW,A320,1688586759,en-route
9H-EUT,DE,46.370358,6.328262,10972,349,790,81PB,EWG81PB,EW6808,LEPA,PMI,EDLP,PAD,EWG,EW,A320,1688586760,en-route
9H-EXS,DE,41.178955,2.343872,4853,66,629,7PA,EWG7PA,EW4215,LEBL,BCN,LKPR,PRG,EWG,EW,A319,1688586758,en-route
9H-EWA,DE,46.55545,16.092155,10363,331,790,4311,EWG4311,EW4311,LCLK,LCA,LOWS,SZG,EWG,EW,A320,1688586759,en-route
9H-EWC,DE,51.386078,7.627333,4183,301,600,2HT,EWG2HT,EW9783,LHBP,BUD,EDDL,DUS,EWG,EW,A320,1688586759,en-route
9H-EWD,DE,45.05051,8.299568,10972,24,894,3591,EWG3591,EW3591,LEPA,PMI,EDDV,HAJ,EWG,EW,A320,1688586761,en-route
9H-EWH,DE,42.578796,5.82987,11590,48,964,2JH,EWG2JH,EW6814,LEPA,PMI,EDDN,NUE,EWG,EW,A320,1688586759,en-route
9H-WAG,HU,42.043671,15.837416,11277,127,946,5357,WMT5357,W45541,LIMC,MXP,LGAV,ATH,WZZ,W4,A21N,1688586759,en-route
9H-WAN,HU,48.630749,10.349772,11879,122,892,819,WZZ819,W64328,EBCI,CRL,LBSF,SOF,WZZ,W6,A20N,1688586762,en-route
9H-WAO,HU,45.98877,17.372868,10538,154,840,191,WMT191,W42825,LOWW,VIE,LWOH,OHD,WZZ,W4,A21N,1688586762,en-route
9H-WBR,HU,41.685295,11.75716,4030,72,714,6EV,WMT6EV,W48360,LEMG,AGP,LIRF,FCO,WZZ,W4,A21N,1688586757,en-route
